"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4948","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.135052","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","9.247262","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","1","1","4.481273","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","3.597302","0","5"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","26","6","1","18.340588","0","229"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","1","1","12.471164","0","177"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","4.268695","0","32"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","1","1","2.748240","0","16"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","1","1","14.577548","0","210"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","1","1","2.020335","0","13"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","2.049515","0","10"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","53","14","6","30.697369","0","322"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","2","1","15.275223","0","234"
"/Game/Mannequins/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","2","2","41.628181","0","457"
"/Interchange/gltf/M_Default.M_Default","0","135","6","6","196.106750","0","1172"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","1","1","16.713545","0","278"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","2","1","4.541335","0","36"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","1","1","0.000000","0","8"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","69","5","3","59.191223","0","474"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","1","1","14.732497","0","198"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","1","1","14.981189","0","171"
"/Interchange/gltf/M_Unlit.M_Unlit","0","61","28","6","38.938702","0","335"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","8.504279","0","51"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","135","11","6","212.730972","0","820"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","1","1","17.492792","0","157"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","2","1","8.799283","0","42"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.651985","0","4"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.656503","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","36","3","1","12.404342","0","300"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","12","4","1","5.567505","0","53"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","33","1","1","111.105713","0","401"
"/Interchange/gltf/M_Sheen.M_Sheen","0","135","13","6","250.506973","0","1039"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","5","1","16.045916","0","90"
"/Interchange/gltf/M_Transmission.M_Transmission","0","50","3","2","547.951538","0","238"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","4","1","16.566784","0","227"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","135","19","6","227.550583","0","950"
